asset,scenario,platform_return,platform_volatility,historical_cagr_10y,historical_vol_10y,historical_cagr_5y,historical_cagr_15y,coherence,backtest
gold,conservador,0.04,0.15,0.1392,0.1639,0.2182,0.08,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.2182, ""scenario_cagr"": 0.04, ""deviation"": 0.1782, ""actual_cumulative"": 1.6829, ""scenario_cumulative"": 0.2166}, ""10y"": {""actual_cagr"": 0.1392, ""scenario_cagr"": 0.04, ""deviation"": 0.0992, ""actual_cumulative"": 2.6822, ""scenario_cumulative"": 0.4802}, ""15y"": {""actual_cagr"": 0.08, ""scenario_cagr"": 0.04, ""deviation"": 0.04, ""actual_cumulative"": 2.173, ""scenario_cumulative"": 0.801}, ""stress_tests"": {""Brasil 2015"": -0.106, ""COVID 2020"": 0.0678, ""Hike 2022"": 0.0113}}"
gold,moderado,0.093,0.15,0.1392,0.1639,0.2182,0.08,COERENTE,"{""5y"": {""actual_cagr"": 0.2182, ""scenario_cagr"": 0.093, ""deviation"": 0.1252, ""actual_cumulative"": 1.6829, ""scenario_cumulative"": 0.5598}, ""10y"": {""actual_cagr"": 0.1392, ""scenario_cagr"": 0.093, ""deviation"": 0.0462, ""actual_cumulative"": 2.6822, ""scenario_cumulative"": 1.433}, ""15y"": {""actual_cagr"": 0.08, ""scenario_cagr"": 0.093, ""deviation"": -0.013, ""actual_cumulative"": 2.173, ""scenario_cumulative"": 2.796}, ""stress_tests"": {""Brasil 2015"": -0.106, ""COVID 2020"": 0.0678, ""Hike 2022"": 0.0113}}"
gold,agressivo,0.15,0.15,0.1392,0.1639,0.2182,0.08,COERENTE,"{""5y"": {""actual_cagr"": 0.2182, ""scenario_cagr"": 0.15, ""deviation"": 0.0682, ""actual_cumulative"": 1.6829, ""scenario_cumulative"": 1.0112}, ""10y"": {""actual_cagr"": 0.1392, ""scenario_cagr"": 0.15, ""deviation"": -0.0108, ""actual_cumulative"": 2.6822, ""scenario_cumulative"": 3.0448}, ""15y"": {""actual_cagr"": 0.08, ""scenario_cagr"": 0.15, ""deviation"": -0.07, ""actual_cumulative"": 2.173, ""scenario_cumulative"": 7.1378}, ""stress_tests"": {""Brasil 2015"": -0.106, ""COVID 2020"": 0.0678, ""Hike 2022"": 0.0113}}"
silver,conservador,0.03,0.28,0.1651,0.3419,0.2377,0.0425,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.2377, ""scenario_cagr"": 0.03, ""deviation"": 0.2077, ""actual_cumulative"": 1.9043, ""scenario_cumulative"": 0.1593}, ""10y"": {""actual_cagr"": 0.1651, ""scenario_cagr"": 0.03, ""deviation"": 0.1351, ""actual_cumulative"": 3.6071, ""scenario_cumulative"": 0.3439}, ""15y"": {""actual_cagr"": 0.0425, ""scenario_cagr"": 0.03, ""deviation"": 0.0125, ""actual_cumulative"": 0.8681, ""scenario_cumulative"": 0.558}, ""stress_tests"": {""Brasil 2015"": -0.1245, ""COVID 2020"": -0.1554, ""Hike 2022"": 0.047}}"
silver,moderado,0.085,0.28,0.1651,0.3419,0.2377,0.0425,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.2377, ""scenario_cagr"": 0.085, ""deviation"": 0.1527, ""actual_cumulative"": 1.9043, ""scenario_cumulative"": 0.5036}, ""10y"": {""actual_cagr"": 0.1651, ""scenario_cagr"": 0.085, ""deviation"": 0.0801, ""actual_cumulative"": 3.6071, ""scenario_cumulative"": 1.2607}, ""15y"": {""actual_cagr"": 0.0425, ""scenario_cagr"": 0.085, ""deviation"": -0.0425, ""actual_cumulative"": 0.8681, ""scenario_cumulative"": 2.3999}, ""stress_tests"": {""Brasil 2015"": -0.1245, ""COVID 2020"": -0.1554, ""Hike 2022"": 0.047}}"
silver,agressivo,0.18,0.28,0.1651,0.3419,0.2377,0.0425,COERENTE,"{""5y"": {""actual_cagr"": 0.2377, ""scenario_cagr"": 0.18, ""deviation"": 0.0577, ""actual_cumulative"": 1.9043, ""scenario_cumulative"": 1.2875}, ""10y"": {""actual_cagr"": 0.1651, ""scenario_cagr"": 0.18, ""deviation"": -0.0149, ""actual_cumulative"": 3.6071, ""scenario_cumulative"": 4.2326}, ""15y"": {""actual_cagr"": 0.0425, ""scenario_cagr"": 0.18, ""deviation"": -0.1375, ""actual_cumulative"": 0.8681, ""scenario_cumulative"": 10.9751}, ""stress_tests"": {""Brasil 2015"": -0.1245, ""COVID 2020"": -0.1554, ""Hike 2022"": 0.047}}"
platinum,conservador,-0.05,0.22,0.0709,0.3169,0.1056,0.0051,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.1056, ""scenario_cagr"": -0.05, ""deviation"": 0.1556, ""actual_cumulative"": 0.6519, ""scenario_cumulative"": -0.2262}, ""10y"": {""actual_cagr"": 0.0709, ""scenario_cagr"": -0.05, ""deviation"": 0.1209, ""actual_cumulative"": 0.9832, ""scenario_cumulative"": -0.4012}, ""15y"": {""actual_cagr"": 0.0051, ""scenario_cagr"": -0.05, ""deviation"": 0.0551, ""actual_cumulative"": 0.0796, ""scenario_cumulative"": -0.5367}, ""stress_tests"": {""Brasil 2015"": -0.2588, ""COVID 2020"": -0.1637, ""Hike 2022"": 0.1258}}"
platinum,moderado,0.06,0.22,0.0709,0.3169,0.1056,0.0051,COERENTE,"{""5y"": {""actual_cagr"": 0.1056, ""scenario_cagr"": 0.06, ""deviation"": 0.0456, ""actual_cumulative"": 0.6519, ""scenario_cumulative"": 0.3382}, ""10y"": {""actual_cagr"": 0.0709, ""scenario_cagr"": 0.06, ""deviation"": 0.0109, ""actual_cumulative"": 0.9832, ""scenario_cumulative"": 0.7907}, ""15y"": {""actual_cagr"": 0.0051, ""scenario_cagr"": 0.06, ""deviation"": -0.0549, ""actual_cumulative"": 0.0796, ""scenario_cumulative"": 1.3967}, ""stress_tests"": {""Brasil 2015"": -0.2588, ""COVID 2020"": -0.1637, ""Hike 2022"": 0.1258}}"
platinum,agressivo,0.2,0.22,0.0709,0.3169,0.1056,0.0051,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.1056, ""scenario_cagr"": 0.2, ""deviation"": -0.0944, ""actual_cumulative"": 0.6519, ""scenario_cumulative"": 1.488}, ""10y"": {""actual_cagr"": 0.0709, ""scenario_cagr"": 0.2, ""deviation"": -0.1291, ""actual_cumulative"": 0.9832, ""scenario_cumulative"": 5.1902}, ""15y"": {""actual_cagr"": 0.0051, ""scenario_cagr"": 0.2, ""deviation"": -0.1949, ""actual_cumulative"": 0.0796, ""scenario_cumulative"": 14.4089}, ""stress_tests"": {""Brasil 2015"": -0.2588, ""COVID 2020"": -0.1637, ""Hike 2022"": 0.1258}}"
btc,conservador,-0.6,0.85,0.6639,0.5619,0.0273,0.5419,DIVERGENTE,"{""5y"": {""actual_cagr"": 0.0273, ""scenario_cagr"": -0.6, ""deviation"": 0.6273, ""actual_cumulative"": 0.1441, ""scenario_cumulative"": -0.9898}, ""10y"": {""actual_cagr"": 0.6639, ""scenario_cagr"": -0.6, ""deviation"": 1.2639, ""actual_cumulative"": 161.5036, ""scenario_cumulative"": -0.9999}, ""15y"": {""actual_cagr"": 0.5419, ""scenario_cagr"": -0.6, ""deviation"": 1.1419, ""actual_cumulative"": 146.3957, ""scenario_cumulative"": -1.0}, ""stress_tests"": {""Brasil 2015"": 0.3701, ""COVID 2020"": -0.0782, ""Hike 2022"": -0.653}}"
btc,moderado,0.4,0.85,0.6639,0.5619,0.0273,0.5419,DIVERGENTE,"{""5y"": {""actual_cagr"": 0.0273, ""scenario_cagr"": 0.4, ""deviation"": -0.3727, ""actual_cumulative"": 0.1441, ""scenario_cumulative"": 4.377}, ""10y"": {""actual_cagr"": 0.6639, ""scenario_cagr"": 0.4, ""deviation"": 0.2639, ""actual_cumulative"": 161.5036, ""scenario_cumulative"": 27.9121}, ""15y"": {""actual_cagr"": 0.5419, ""scenario_cagr"": 0.4, ""deviation"": 0.1419, ""actual_cumulative"": 146.3957, ""scenario_cumulative"": 47.431}, ""stress_tests"": {""Brasil 2015"": 0.3701, ""COVID 2020"": -0.0782, ""Hike 2022"": -0.653}}"
btc,agressivo,1.2,0.85,0.6639,0.5619,0.0273,0.5419,DIVERGENTE,"{""5y"": {""actual_cagr"": 0.0273, ""scenario_cagr"": 1.2, ""deviation"": -1.1727, ""actual_cumulative"": 0.1441, ""scenario_cumulative"": 50.5085}, ""10y"": {""actual_cagr"": 0.6639, ""scenario_cagr"": 1.2, ""deviation"": -0.5361, ""actual_cumulative"": 161.5036, ""scenario_cumulative"": 2652.1271}, ""15y"": {""actual_cagr"": 0.5419, ""scenario_cagr"": 1.2, ""deviation"": -0.6581, ""actual_cumulative"": 146.3957, ""scenario_cumulative"": 8886.0842}, ""stress_tests"": {""Brasil 2015"": 0.3701, ""COVID 2020"": -0.0782, ""Hike 2022"": -0.653}}"
