asset,scenario,platform_return,platform_volatility,historical_cagr_10y,historical_vol_10y,historical_cagr_5y,historical_cagr_15y,coherence,backtest
gold,conservador,0.04,0.15,0.1393,0.1639,0.2183,0.08,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.2183, ""scenario_cagr"": 0.04, ""deviation"": 0.1783, ""actual_cumulative"": 1.6832, ""scenario_cumulative"": 0.2166}, ""10y"": {""actual_cagr"": 0.1393, ""scenario_cagr"": 0.04, ""deviation"": 0.0993, ""actual_cumulative"": 2.6826, ""scenario_cumulative"": 0.4802}, ""15y"": {""actual_cagr"": 0.08, ""scenario_cagr"": 0.04, ""deviation"": 0.04, ""actual_cumulative"": 2.1733, ""scenario_cumulative"": 0.801}, ""stress_tests"": {""Brasil 2015"": -0.106, ""COVID 2020"": 0.0678, ""Hike 2022"": 0.0113}}"
gold,moderado,0.093,0.15,0.1393,0.1639,0.2183,0.08,COERENTE,"{""5y"": {""actual_cagr"": 0.2183, ""scenario_cagr"": 0.093, ""deviation"": 0.1253, ""actual_cumulative"": 1.6832, ""scenario_cumulative"": 0.5598}, ""10y"": {""actual_cagr"": 0.1393, ""scenario_cagr"": 0.093, ""deviation"": 0.0463, ""actual_cumulative"": 2.6826, ""scenario_cumulative"": 1.433}, ""15y"": {""actual_cagr"": 0.08, ""scenario_cagr"": 0.093, ""deviation"": -0.013, ""actual_cumulative"": 2.1733, ""scenario_cumulative"": 2.796}, ""stress_tests"": {""Brasil 2015"": -0.106, ""COVID 2020"": 0.0678, ""Hike 2022"": 0.0113}}"
gold,agressivo,0.15,0.15,0.1393,0.1639,0.2183,0.08,COERENTE,"{""5y"": {""actual_cagr"": 0.2183, ""scenario_cagr"": 0.15, ""deviation"": 0.0683, ""actual_cumulative"": 1.6832, ""scenario_cumulative"": 1.0112}, ""10y"": {""actual_cagr"": 0.1393, ""scenario_cagr"": 0.15, ""deviation"": -0.0107, ""actual_cumulative"": 2.6826, ""scenario_cumulative"": 3.0448}, ""15y"": {""actual_cagr"": 0.08, ""scenario_cagr"": 0.15, ""deviation"": -0.07, ""actual_cumulative"": 2.1733, ""scenario_cumulative"": 7.1378}, ""stress_tests"": {""Brasil 2015"": -0.106, ""COVID 2020"": 0.0678, ""Hike 2022"": 0.0113}}"
silver,conservador,0.03,0.28,0.1648,0.3419,0.2372,0.0424,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.2372, ""scenario_cagr"": 0.03, ""deviation"": 0.2072, ""actual_cumulative"": 1.8983, ""scenario_cumulative"": 0.1593}, ""10y"": {""actual_cagr"": 0.1648, ""scenario_cagr"": 0.03, ""deviation"": 0.1348, ""actual_cumulative"": 3.5975, ""scenario_cumulative"": 0.3439}, ""15y"": {""actual_cagr"": 0.0424, ""scenario_cagr"": 0.03, ""deviation"": 0.0124, ""actual_cumulative"": 0.8642, ""scenario_cumulative"": 0.558}, ""stress_tests"": {""Brasil 2015"": -0.1245, ""COVID 2020"": -0.1554, ""Hike 2022"": 0.047}}"
silver,moderado,0.085,0.28,0.1648,0.3419,0.2372,0.0424,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.2372, ""scenario_cagr"": 0.085, ""deviation"": 0.1522, ""actual_cumulative"": 1.8983, ""scenario_cumulative"": 0.5036}, ""10y"": {""actual_cagr"": 0.1648, ""scenario_cagr"": 0.085, ""deviation"": 0.0798, ""actual_cumulative"": 3.5975, ""scenario_cumulative"": 1.2607}, ""15y"": {""actual_cagr"": 0.0424, ""scenario_cagr"": 0.085, ""deviation"": -0.0426, ""actual_cumulative"": 0.8642, ""scenario_cumulative"": 2.3999}, ""stress_tests"": {""Brasil 2015"": -0.1245, ""COVID 2020"": -0.1554, ""Hike 2022"": 0.047}}"
silver,agressivo,0.18,0.28,0.1648,0.3419,0.2372,0.0424,COERENTE,"{""5y"": {""actual_cagr"": 0.2372, ""scenario_cagr"": 0.18, ""deviation"": 0.0572, ""actual_cumulative"": 1.8983, ""scenario_cumulative"": 1.2875}, ""10y"": {""actual_cagr"": 0.1648, ""scenario_cagr"": 0.18, ""deviation"": -0.0152, ""actual_cumulative"": 3.5975, ""scenario_cumulative"": 4.2326}, ""15y"": {""actual_cagr"": 0.0424, ""scenario_cagr"": 0.18, ""deviation"": -0.1376, ""actual_cumulative"": 0.8642, ""scenario_cumulative"": 10.9751}, ""stress_tests"": {""Brasil 2015"": -0.1245, ""COVID 2020"": -0.1554, ""Hike 2022"": 0.047}}"
platinum,conservador,-0.05,0.22,0.0706,0.3169,0.1051,0.005,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.1051, ""scenario_cagr"": -0.05, ""deviation"": 0.1551, ""actual_cumulative"": 0.6484, ""scenario_cumulative"": -0.2262}, ""10y"": {""actual_cagr"": 0.0706, ""scenario_cagr"": -0.05, ""deviation"": 0.1206, ""actual_cumulative"": 0.9789, ""scenario_cumulative"": -0.4012}, ""15y"": {""actual_cagr"": 0.005, ""scenario_cagr"": -0.05, ""deviation"": 0.055, ""actual_cumulative"": 0.0773, ""scenario_cumulative"": -0.5367}, ""stress_tests"": {""Brasil 2015"": -0.2588, ""COVID 2020"": -0.1637, ""Hike 2022"": 0.1258}}"
platinum,moderado,0.06,0.22,0.0706,0.3169,0.1051,0.005,COERENTE,"{""5y"": {""actual_cagr"": 0.1051, ""scenario_cagr"": 0.06, ""deviation"": 0.0451, ""actual_cumulative"": 0.6484, ""scenario_cumulative"": 0.3382}, ""10y"": {""actual_cagr"": 0.0706, ""scenario_cagr"": 0.06, ""deviation"": 0.0106, ""actual_cumulative"": 0.9789, ""scenario_cumulative"": 0.7907}, ""15y"": {""actual_cagr"": 0.005, ""scenario_cagr"": 0.06, ""deviation"": -0.055, ""actual_cumulative"": 0.0773, ""scenario_cumulative"": 1.3967}, ""stress_tests"": {""Brasil 2015"": -0.2588, ""COVID 2020"": -0.1637, ""Hike 2022"": 0.1258}}"
platinum,agressivo,0.2,0.22,0.0706,0.3169,0.1051,0.005,ACEITÁVEL,"{""5y"": {""actual_cagr"": 0.1051, ""scenario_cagr"": 0.2, ""deviation"": -0.0949, ""actual_cumulative"": 0.6484, ""scenario_cumulative"": 1.488}, ""10y"": {""actual_cagr"": 0.0706, ""scenario_cagr"": 0.2, ""deviation"": -0.1294, ""actual_cumulative"": 0.9789, ""scenario_cumulative"": 5.1902}, ""15y"": {""actual_cagr"": 0.005, ""scenario_cagr"": 0.2, ""deviation"": -0.195, ""actual_cumulative"": 0.0773, ""scenario_cumulative"": 14.4089}, ""stress_tests"": {""Brasil 2015"": -0.2588, ""COVID 2020"": -0.1637, ""Hike 2022"": 0.1258}}"
btc,conservador,-0.6,0.85,0.6642,0.5619,0.0278,0.5422,DIVERGENTE,"{""5y"": {""actual_cagr"": 0.0278, ""scenario_cagr"": -0.6, ""deviation"": 0.6278, ""actual_cumulative"": 0.1467, ""scenario_cumulative"": -0.9898}, ""10y"": {""actual_cagr"": 0.6642, ""scenario_cagr"": -0.6, ""deviation"": 1.2642, ""actual_cumulative"": 161.8628, ""scenario_cumulative"": -0.9999}, ""15y"": {""actual_cagr"": 0.5422, ""scenario_cagr"": -0.6, ""deviation"": 1.1422, ""actual_cumulative"": 146.7216, ""scenario_cumulative"": -1.0}, ""stress_tests"": {""Brasil 2015"": 0.3701, ""COVID 2020"": -0.0782, ""Hike 2022"": -0.653}}"
btc,moderado,0.4,0.85,0.6642,0.5619,0.0278,0.5422,DIVERGENTE,"{""5y"": {""actual_cagr"": 0.0278, ""scenario_cagr"": 0.4, ""deviation"": -0.3722, ""actual_cumulative"": 0.1467, ""scenario_cumulative"": 4.377}, ""10y"": {""actual_cagr"": 0.6642, ""scenario_cagr"": 0.4, ""deviation"": 0.2642, ""actual_cumulative"": 161.8628, ""scenario_cumulative"": 27.9121}, ""15y"": {""actual_cagr"": 0.5422, ""scenario_cagr"": 0.4, ""deviation"": 0.1422, ""actual_cumulative"": 146.7216, ""scenario_cumulative"": 47.431}, ""stress_tests"": {""Brasil 2015"": 0.3701, ""COVID 2020"": -0.0782, ""Hike 2022"": -0.653}}"
btc,agressivo,1.2,0.85,0.6642,0.5619,0.0278,0.5422,DIVERGENTE,"{""5y"": {""actual_cagr"": 0.0278, ""scenario_cagr"": 1.2, ""deviation"": -1.1722, ""actual_cumulative"": 0.1467, ""scenario_cumulative"": 50.5085}, ""10y"": {""actual_cagr"": 0.6642, ""scenario_cagr"": 1.2, ""deviation"": -0.5358, ""actual_cumulative"": 161.8628, ""scenario_cumulative"": 2652.1271}, ""15y"": {""actual_cagr"": 0.5422, ""scenario_cagr"": 1.2, ""deviation"": -0.6578, ""actual_cumulative"": 146.7216, ""scenario_cumulative"": 8886.0842}, ""stress_tests"": {""Brasil 2015"": 0.3701, ""COVID 2020"": -0.0782, ""Hike 2022"": -0.653}}"
